id,latitude,longitude,price,minimum_nights,,,,,,,,
340435,51.5069,-0.22604,60,2,,,,,,,,
340916,51.59922,-0.33356,20,3,,,,,,,,
340933,51.49226,-0.06271,45,1,,,,,,,,
341143,51.57034,-0.11096,70,1,,,,,,,,
341779,51.40208,-0.0987,21,1,,,,,,,,
341795,51.60164,-0.33589,40,3,,,,,,,,
341956,51.53169,-0.3761,50,2,,,,,,,,
342636,51.45644,-0.03757,60,1,,,,,,,,
342708,51.5152,-0.19613,170,35,,,,,,,,
342804,51.48945,-0.27208,160,5,,,,,,,,
343062,51.50893,0.01881,38,2,,,,,,,,
343848,51.64879,-0.11822,30,2,,,,,,,,
344094,51.41868,-0.12462,24,3,,,,,,,,
344095,51.41888,-0.12406,25,1,,,,,,,,
344102,51.41757,-0.12453,23,3,,,,,,,,
344233,51.54439,0.05872,175,2,,,,,,,,
345013,51.50021,-0.06975,195,5,,,,,,,,
345039,51.534,-0.23784,235,14,,,,,,,,
345321,51.53338,-0.00996,300,14,,,,,,,,
345877,51.53771,-0.08668,80,1,,,,,,,,
346523,51.48311,-0.18428,99,5,,,,,,,,
347389,51.50062,0.03117,115,2,,,,,,,,
347436,51.55025,-0.18445,381,2,,,,,,,,
347452,51.47608,-0.12531,31,2,,,,,,,,
347849,51.44217,-0.1376,130,5,,,,,,,,
347896,51.44553,-0.13773,30,2,,,,,,,,
348215,51.54267,-0.14519,75,1,,,,,,,,
348217,51.544,-0.14509,275,2,,,,,,,,
348549,51.52756,-0.06337,159,3,,,,,,,,
349273,51.61154,-0.01863,45,2,,,,,,,,
349339,51.61654,-0.14936,50,2,,,,,,,,
349930,51.52832,-0.10085,40,2,,,,,,,,
350011,51.55975,-0.12085,100,3,,,,,,,,
350291,51.52594,-0.08043,79,6,,,,,,,,
350588,51.53638,-0.11896,98,2,,,,,,,,
351055,51.5311,-0.03799,80,7,,,,,,,,
351071,51.50176,-0.19052,175,1,,,,,,,,
351727,51.45511,-0.10869,32,2,,,,,,,,
352643,51.55851,-0.12771,95,7,,,,,,,,
353133,51.54482,-0.11008,50,5,,,,,,,,
353787,51.55859,0.0132,69,1,,,,,,,,
354003,51.4908,-0.18779,150,1,,,,,,,,
354827,51.60054,-0.33774,30,3,,,,,,,,
355676,51.57605,0.1133,30,1,,,,,,,,
356027,51.49604,0.01312,140,5,,,,,,,,
356040,51.46264,-0.01505,28,1,,,,,,,,
356073,51.52077,0.02479,40,3,,,,,,,,
356427,51.54071,-0.22338,250,7,,,,,,,,
356978,51.53023,-0.21417,45,2,,,,,,,,
357036,51.55324,-0.22808,99,10,,,,,,,,
357197,51.53197,-0.08922,55,28,,,,,,,,
358043,51.52907,-0.0409,150,2,,,,,,,,
358141,51.50671,-0.0699,275,4,,,,,,,,
358360,51.59737,-0.09714,26,1,,,,,,,,
359092,51.57357,0.17024,22,3,,,,,,,,
359316,51.51551,-0.2146,45,2,,,,,,,,
359423,51.53238,-0.06578,60,2,,,,,,,,
359619,51.50649,-0.05628,145,1,,,,,,,,
359974,51.52795,-0.08272,120,5,,,,,,,,
